phase,source_url,destination_url,anchor_text,link_context,http_status,final_url,chain_length,verification,rel,recommended_action,internal
"baseline","https://kujo.robertdevore.com/","https://kujo.robertdevore.com/about/","About","HTML anchor","200","https://kujo.robertdevore.com/about/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/","https://kujo.robertdevore.com/sitemap.xml","Sitemap","HTML anchor","200","https://kujo.robertdevore.com/sitemap.xml","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/#main","Skip to content","HTML anchor","200","https://kujo.robertdevore.com/course/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/","K_ KUJO THE COURSE","HTML anchor","200","https://kujo.robertdevore.com/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/","Curriculum","HTML anchor","200","https://kujo.robertdevore.com/course/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/explorer/","Examples","HTML anchor","200","https://kujo.robertdevore.com/explorer/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/evidence/","Evidence","HTML anchor","200","https://kujo.robertdevore.com/evidence/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/what-is-kujo/","01 What Kujo is","HTML anchor","200","https://kujo.robertdevore.com/course/what-is-kujo/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/setup-and-cli/","02 Installation, CLI, and your first program","HTML anchor","200","https://kujo.robertdevore.com/course/setup-and-cli/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/bindings-and-mutability/","03 Bindings, values, and mutability","HTML anchor","200","https://kujo.robertdevore.com/course/bindings-and-mutability/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/values-and-truthiness/","04 Values, operators, and truthiness","HTML anchor","200","https://kujo.robertdevore.com/course/values-and-truthiness/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/control-flow/","05 Control flow and block scopes","HTML anchor","200","https://kujo.robertdevore.com/course/control-flow/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/functions/","06 Functions, callbacks, and return values","HTML anchor","200","https://kujo.robertdevore.com/course/functions/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/collections-and-pipelines/","07 Collections, pipes, and null handling","HTML anchor","200","https://kujo.robertdevore.com/course/collections-and-pipelines/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/build-1/","◆ Build 1 · Put it to work →","HTML anchor","200","https://kujo.robertdevore.com/build-1/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/scope-and-capture/","08 Scope, shadowing, and capture","HTML anchor","200","https://kujo.robertdevore.com/course/scope-and-capture/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/structs-and-enums/","09 Structs and enums","HTML anchor","200","https://kujo.robertdevore.com/course/structs-and-enums/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/match-result-option/","10 Match, Result, and Option","HTML anchor","200","https://kujo.robertdevore.com/course/match-result-option/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/exceptions/","11 Exceptions and recoverable errors","HTML anchor","200","https://kujo.robertdevore.com/course/exceptions/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/optional-typing/","12 Optional typing without imaginary guarantees","HTML anchor","200","https://kujo.robertdevore.com/course/optional-typing/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/","https://kujo.robertdevore.com/course/async-and-await/","13 Async functions and await","HTML anchor","200","https://kujo.robertdevore.com/course/async-and-await/","","reachable","","retain","true"
